model,precision@10,recall@10
LightGCN,0.017508417508417508,0.08031351364684698
LightFM,0.011784511784511785,0.04381559798226465
BPR,0.010101010101010102,0.04531517864851198
BiVAE,0.006734006734006734,0.029212762546095884
MF,0.0047138047138047135,0.01907968574635241
